1 / 16	 -1 / 16	 -1 / 16	 1 / 16	
-1 / 16	 1 / 16	 1 / 16	 -1 / 16	
-1 / 16	 1 / 16	 1 / 16	 -1 / 16	
1 / 16	 -1 / 16	 -1 / 16	 1 / 16	

3 / 2	 1 / 1	 -3 / 2	 3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 -3 / 2
1 / 1	 3 / 2	 -1 / 1	 1 / 1	 -3 / 2	 1 / 1	 -1 / 1	 -1 / 1
-3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 1 / 1	 -3 / 2	 3 / 2	 3 / 2
3 / 2	 1 / 1	 -3 / 2	 3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 -3 / 2
-1 / 1	 -3 / 2	 1 / 1	 -1 / 1	 3 / 2	 -1 / 1	 1 / 1	 1 / 1
3 / 2	 1 / 1	 -3 / 2	 3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 -3 / 2
-3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 1 / 1	 -3 / 2	 3 / 2	 3 / 2
-3 / 2	 -1 / 1	 3 / 2	 -3 / 2	 1 / 1	 -3 / 2	 3 / 2	 3 / 2

7 / 2	 5 / 2	 7 / 2	 7 / 2	 -7 / 2	 -5 / 2	 -7 / 2	 -7 / 2
5 / 2	 5 / 2	 5 / 2	 5 / 2	 -5 / 2	 -3 / 2	 -5 / 2	 -5 / 2
7 / 2	 5 / 2	 7 / 2	 7 / 2	 -7 / 2	 -5 / 2	 -7 / 2	 -7 / 2
7 / 2	 5 / 2	 7 / 2	 7 / 2	 -7 / 2	 -5 / 2	 -7 / 2	 -7 / 2
-7 / 2	 -5 / 2	 -7 / 2	 -7 / 2	 7 / 2	 5 / 2	 7 / 2	 7 / 2
-5 / 2	 -3 / 2	 -5 / 2	 -5 / 2	 5 / 2	 5 / 2	 5 / 2	 5 / 2
-7 / 2	 -5 / 2	 -7 / 2	 -7 / 2	 7 / 2	 5 / 2	 7 / 2	 7 / 2
-7 / 2	 -5 / 2	 -7 / 2	 -7 / 2	 7 / 2	 5 / 2	 7 / 2	 7 / 2
