 35 / 48	-35 / 48	-35 / 48	 35 / 48
-35 / 48	 35 / 48	 35 / 48	-35 / 48
-35 / 48	 35 / 48	 35 / 48	-35 / 48
 35 / 48	-35 / 48	-35 / 48	 35 / 48


 5 / 1	 0 / 1	-5 / 1	 5 / 1	 0 / 1	 5 / 1	-5 / 1	-5 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
-5 / 1	 0 / 1	 5 / 1	-5 / 1	 0 / 1	-5 / 1	 5 / 1	 5 / 1
 5 / 1	 0 / 1	-5 / 1	 5 / 1	 0 / 1	 5 / 1	-5 / 1	-5 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 5 / 1	 0 / 1	-5 / 1	 5 / 1	 0 / 1	 5 / 1	-5 / 1	-5 / 1
-5 / 1	 0 / 1	 5 / 1	-5 / 1	 0 / 1	-5 / 1	 5 / 1	 5 / 1
-5 / 1	 0 / 1	 5 / 1	-5 / 1	 0 / 1	-5 / 1	 5 / 1	 5 / 1

 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 0 / 1	 12 / 1	 0 / 1	 0 / 1	 0 / 1	-12 / 1	 0 / 1	 0 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 0 / 1	-12 / 1	 0 / 1	 0 / 1	 0 / 1	 12 / 1	 0 / 1	 0 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1	 0 / 1
