2473 / 6400	 -363 / 1600	 -757 / 1600	 2007 / 6400
-363 / 1600	 1407 / 6400	 1441 / 6400	 -349 / 1600
-757 / 1600	 1441 / 6400	 4659 / 6400	 -12 / 25
2007 / 6400	 -349 / 1600	 -12 / 25	 2461 / 6400

99 / 3200	 -99 / 3200	 -99 / 3200	 99 / 3200
-99 / 3200	 99 / 3200	 99 / 3200	 -99 / 3200
-99 / 3200	 99 / 3200	 99 / 3200	 -99 / 3200
99 / 3200	 -99 / 3200	 -99 / 3200	 99 / 3200

31 / 40	 43 / 40	 -61 / 200	 79 / 100	 -241 / 200	 1 / 25	 -4 / 5	 -37 / 100
43 / 40	 1511 / 200	 -131 / 200	 331 / 100	 -1253 / 200	 3 / 4	 -113 / 25	 -5 / 4
-61 / 200	 -131 / 200	 18 / 25	 -29 / 50	 3 / 4	 -1 / 4	 7 / 25	 1 / 25
79 / 100	 331 / 100	 -29 / 50	 187 / 50	 -113 / 25	 7 / 25	 -223 / 100	 -79 / 100
-241 / 200	 -1253 / 200	 3 / 4	 -113 / 25	 15 / 2	 -67 / 100	 331 / 100	 11 / 10
1 / 25	 3 / 4	 -1 / 4	 7 / 25	 -67 / 100	 67 / 100	 -27 / 50	 -7 / 25
-4 / 5	 -113 / 25	 7 / 25	 -223 / 100	 331 / 100	 -27 / 50	 187 / 50	 19 / 25
-37 / 100	 -5 / 4	 1 / 25	 -79 / 100	 11 / 10	 -7 / 25	 19 / 25	 79 / 100

391 / 100	 -319 / 100	 13 / 20	 13 / 20	 -123 / 50	 87 / 50	 9 / 50	 -37 / 25
-319 / 100	 367 / 50	 -159 / 50	 -159 / 50	 7 / 4	 -76 / 25	 7 / 4	 7 / 4
13 / 20	 -159 / 50	 389 / 100	 13 / 20	 -37 / 25	 7 / 4	 -123 / 50	 9 / 50
13 / 20	 -159 / 50	 13 / 20	 389 / 100	 9 / 50	 7 / 4	 -37 / 25	 -123 / 50
-123 / 50	 7 / 4	 -37 / 25	 9 / 50	 389 / 100	 -159 / 50	 13 / 20	 13 / 20
87 / 50	 -76 / 25	 7 / 4	 7 / 4	 -159 / 50	 367 / 50	 -159 / 50	 -159 / 50
9 / 50	 7 / 4	 -123 / 50	 -37 / 25	 13 / 20	 -159 / 50	 389 / 100	 13 / 20
-37 / 25	 7 / 4	 9 / 50	 -123 / 50	 13 / 20	 -159 / 50	 13 / 20	 389 / 100
